"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-002","Initialize Git Monorepo and Scaffold Projects","Set up the Git repository with a monorepo structure. Create 'mobile', 'web', and 'backend' directories. Scaffold new Flutter projects and initialize a new Firebase project with TypeScript functions.","Task","Sprint Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-06-10","8.3","","devops,setup,git","Sprint 1","Establish foundational infrastructure, CI/CD, and core user authentication.","Infrastructure, CI/CD, and Project Setup","EPIC-001","Attendance Tracking System","","","Git,Flutter,Firebase CLI,TypeScript","Low","Low","A Git repository exists with 'mobile', 'web', 'backend' directories; Flutter and Firebase projects are scaffolded.","Initial commit pushed to the Git repository with the correct project structure; Code reviewed.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","None","","Manual verification of repository structure.","N/A","Creates the repository structure needed before any code can be written."
"US-001","Admin registers a new organization tenant","As a new administrator, I want to register my organization by providing my details, a unique organization name, and selecting a data residency region, so that a new, isolated tenant is created for my company and I can begin configuring the system.","Story","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-06-14","62","5","onboarding,admin,backend,frontend","Sprint 1","Establish foundational infrastructure, CI/CD, and core user authentication.","User Authentication & Lifecycle","EPIC-003","Attendance Tracking System","EPIC-003","TASK-007,TASK-016","TypeScript,Firebase Functions,Flutter,Riverpod","Medium","High","A new tenant and user are created atomically; Custom claims for tenantId and role are set; User is auto-logged in and redirected to the Admin dashboard.","All acceptance criteria validated; Unit and Integration tests passing with >80% coverage; Security requirements validated; Deployed and verified in staging.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","80%","flutter.dev1@company.com","","Unit, Integration, E2E, Security","Deploys a new Cloud Function and Flutter for Web page.","Enables new organizations to onboard themselves, creating the foundational tenant structure."
"TASK-010","CI/CD: Develop Backend Deployment Workflow","Create the `backend-deploy.yml` GitHub Actions workflow. This workflow will trigger on pushes to `develop` (for staging) and `main` (for prod). It will install dependencies, lint, run all Jest tests, check for 80% code coverage, and deploy using the Firebase CLI.","Task","Sprint Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-06-12","12.7","","devops,ci-cd,github-actions,backend","Sprint 1","Establish foundational infrastructure, CI/CD, and core user authentication.","Infrastructure, CI/CD, and Project Setup","EPIC-001","Attendance Tracking System","","TASK-009","GitHub Actions,YAML,Jest,Firebase CLI","Medium","Medium","A push to `develop` branch automatically deploys the backend to staging; Workflow fails if tests or coverage checks fail.","Workflow runs successfully in GitHub Actions for both PRs and pushes to `develop`.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","","","Triggering workflow via pull requests and direct pushes to test branches.","Defines the deployment process for all backend services.","Increases development velocity and reduces deployment risk by automating the backend release lifecycle."
"US-004","Admin invites a new user to the organization via email","As an Admin, I want to invite new employees by entering their email and role, so they can receive a secure registration link and create their account.","Story","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-06-28","32","5","onboarding,admin,user-management","Sprint 2","Implement the complete user invitation and account activation workflow.","User Authentication & Lifecycle","EPIC-003","Attendance Tracking System","EPIC-003","US-001","TypeScript,Firebase Functions,Flutter,SendGrid","Medium","Medium","Admin can invite a user; User document created with 'invited' status; Email is sent with a 24-hour link; Duplicate invites are blocked.","All acceptance criteria validated; Integration testing of UI, Cloud Function, and email sending completed; Deployed and verified in staging.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-17","2024-06-28","80%","flutter.dev1@company.com","SendGrid API","Unit, Integration, E2E, Email delivery testing","Deploys a new Cloud Function and a new modal in the Admin UI.","Enables onboarding of new employees, facilitating organizational growth."
"US-028","Subordinate checks in for attendance","As a Subordinate, I want to tap a 'Check-In' button on my mobile app so that the system captures my current time and GPS location to create an official attendance record for the start of my workday.","Story","Sprint Backlog","Critical","flutter.dev2@company.com","product.owner@company.com","2024-07-12","32","5","mobile,attendance,subordinate,gps","Sprint 3","Deliver the core attendance marking functionality for Subordinates, including online and offline check-in/out.","Core Attendance Workflow","EPIC-004","Attendance Tracking System","EPIC-004","US-017,US-021,US-076","Flutter,Riverpod,Dart,geolocator,permission_handler","Medium","Medium","User can check-in online, capturing timestamp and GPS; Check-in fails gracefully if location permission is denied; Check-in works offline and saves to local cache.","All ACs validated; E2E tests for offline and permission flows passing; Performance requirements met; Security rules deployed and tested.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-07-01","2024-07-12","80%","","Device GPS/Location Services","Unit, Widget, Integration, E2E on physical devices","Key feature for the mobile application.","Provides the foundational data point for all attendance tracking, reporting, and approval workflows."
"US-037","Supervisor views pending attendance records from subordinates","As a Supervisor, I want to see a clear list of all attendance records from my direct subordinates that are awaiting my review, so that I can efficiently manage my team's attendance.","Story","Sprint Backlog","Critical","flutter.dev2@company.com","product.owner@company.com","2024-07-26","20","5","mobile,supervisor,approval-workflow","Sprint 4","Enable the core Supervisor workflow: view, approve, and reject subordinate attendance.","Supervisor & Admin Management","EPIC-005","Attendance Tracking System","EPIC-005","US-015,US-028","Flutter,Riverpod,Firestore","Medium","Medium","Supervisor sees a real-time list of 'pending' records; List only contains records from direct subordinates; List shows key details (name, date, times).","All ACs validated; Firestore Security Rules tested for data scoping; Required composite index is defined; Performance requirements met.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-07-15","2024-07-26","80%","backend.dev@company.com (for security rules)","","Unit, Widget, Integration, Security Rule testing","Introduces the main dashboard for the Supervisor role.","Enables the core attendance approval workflow, ensuring employee work hours are verified in a timely manner."
"US-008","Admin deactivates a user's account","As an Admin, I want to deactivate a user's account and be guided through any necessary reassignments, so that I can securely revoke access for departing employees.","Story","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-08-09","30","5","admin,user-management,security","Sprint 5","Build out core Admin user and team management capabilities, including deactivation and hierarchy management.","User Authentication & Lifecycle","EPIC-003","Attendance Tracking System","EPIC-003","US-009,US-010","TypeScript,Firebase Functions,Firestore,Flutter","Medium","High","Admin can deactivate a non-supervisor user; Deactivated user is prevented from logging in; Admin is blocked from deactivating a Supervisor with active subordinates.","All ACs validated; Integration test for full flow complete; Security requirement for session invalidation verified; Audit log entry created.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-07-29","2024-08-09","80%","flutter.dev1@company.com","","Unit, Integration, E2E, Security","Deploys a critical security function for offboarding.","Enhances security by preventing unauthorized access from former employees."
"US-045","Subordinate requests a correction to an attendance record","As a Subordinate, I want to submit a request to correct my attendance record and provide a mandatory reason, so I can fix mistakes and ensure my work hours are accurate.","Story","Sprint Backlog","Must Have","flutter.dev2@company.com","product.owner@company.com","2024-08-23","20","5","mobile,attendance,correction","Sprint 6","Implement the end-to-end attendance correction workflow for Subordinates and Supervisors.","Attendance Correction Workflow","EPIC-006","Attendance Tracking System","EPIC-006","US-039","Flutter,Riverpod,Firestore","Medium","Low","User can submit a valid correction request; Record status changes to 'correction_pending'; Request is blocked without a valid justification.","All ACs validated; Integration tests for Firestore writes and security rules completed; Security requirements validated via emulator tests.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-08-12","2024-08-23","80%","","","Unit, Widget, Integration, E2E, Security","Adds a key self-service feature for users.","Ensures data integrity by providing a formal, auditable workflow for correcting attendance errors."
"US-051","Admin views the audit log of data changes","As an Admin, I want to view a filterable and immutable audit log of all critical system actions, so that I can ensure compliance, maintain accountability for data changes, and troubleshoot issues.","Story","Sprint Backlog","Must Have","flutter.dev1@company.com","product.owner@company.com","2024-09-06","35","8","admin,reporting,audit,security","Sprint 7","Establish the Audit Log for compliance and complete Admin management features.","Admin Reporting & Dashboard","EPIC-007","Attendance Tracking System","EPIC-007","US-050","Flutter,Firestore,Riverpod","High","Medium","Admin can view a paginated, reverse-chronological audit log; Admin can filter by date, actor, and action type; The log is immutable from the UI.","All ACs validated; Firestore Security Rules for immutability tested; Required composite indexes defined and deployed; Performance requirements for filtering verified.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-08-26","2024-09-06","80%","backend.dev@company.com (for indexes)","","Unit, Integration, E2E, Performance, Security","Key compliance feature for enterprise customers.","Provides a trustworthy record for audits, enhances accountability, and aids in troubleshooting."
"US-059","Admin views summary attendance reports on the web dashboard","As an Admin, I want to view aggregated summary reports of attendance for daily, weekly, and monthly periods on my web dashboard, so that I can quickly assess workforce attendance trends.","Story","Sprint Backlog","Must Have","flutter.dev1@company.com","product.owner@company.com","2024-09-20","30","8","admin,reporting,dashboard","Sprint 8","Deliver the initial suite of Admin reports, including summary, filtering, late/early, and exception reports.","Admin Reporting & Dashboard","EPIC-007","Attendance Tracking System","EPIC-007","US-028,US-069","Flutter,Firestore,Riverpod,Data Visualization","High","Medium","Admin can view daily, weekly, and monthly summaries; Reports show present/absent counts and attendance %; Trend charts visualize data over time.","All ACs validated; Performance requirements verified against a large dataset; Security rules for tenant isolation tested.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-09-09","2024-09-20","80%","backend.dev@company.com (for data aggregation strategy)","","Unit, Integration, E2E, Performance","Foundation for the reporting module.","Provides immediate, actionable insights into workforce attendance, enabling efficient monitoring and trend analysis."
