"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","Tenant & User Lifecycle Management","Admin registers a new organization tenant","Initial Admin User","As a new administrator, I want to register my organization by providing my details, a unique organization name, and selecting a data residency region, so that a new, isolated tenant is created for my company and I can begin configuring the system.","Enables new organizations to onboard themselves, creating the foundational tenant structure. This is the primary entry point for customer acquisition and is critical for the multi-tenant architecture.","Must Have","5","[]","[{""scenario"":""Successful registration with unique organization name"",""given"":""A potential administrator is on the registration page and has filled all required fields with valid data, including a globally unique organization name and a password meeting complexity requirements"",""when"":""The user clicks the 'Register' button"",""then"":""A new tenant document is created in Firestore, a new user is created in Firebase Authentication with the 'Admin' role, custom claims for tenantId and role are set on the user's auth token, the user is automatically logged in, and they are redirected to the Admin dashboard.""},{""scenario"":""Registration attempt with a duplicate organization name"",""given"":""An organization with the name 'Global Tech Inc.' already exists in the system"",""when"":""A new user enters 'Global Tech Inc.' as the organization name and submits the registration form"",""then"":""The system prevents form submission and displays an inline error message: 'Organization name is already taken. Please choose another.'""},{""scenario"":""Registration process creates all required data atomically"",""given"":""A user submits a valid registration form"",""when"":""An unexpected error occurs during the creation of the Firestore user document after the Firebase Auth user has been created"",""then"":""The entire transaction is rolled back, the Firebase Auth user is deleted, and no tenant or user documents are left in the database. The user is shown a generic error message like 'Registration failed. Please try again.'""}]","[""WI-002-02-001: Develop New Organization Registration Flow"",""Implement public-facing Flutter for Web registration page"",""Create callable Cloud Function for atomic tenant and user creation"",""Set custom claims (tenantId, role) on the new Admin user""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Unit tests for form validation and Cloud Function logic implemented with >80% coverage"",""Integration testing of the full registration flow completed successfully in the emulator suite"",""Security requirements, especially regarding custom claims and data handling, are validated"",""Story deployed and verified in the staging environment""]"
"US-002","Tenant & User Lifecycle Management","Admin is notified of a non-unique organization name during registration","Initial Admin User","As a Prospective Admin registering my organization for the first time, I want to be immediately notified if the organization name I enter is already in use, so that I can choose a unique name and complete the registration process without errors or confusion.","Ensures data integrity by enforcing unique tenant names, prevents user frustration during onboarding, and reduces potential support requests related to registration failures.","Must Have","3","[""US-001""]","[{""scenario"":""Duplicate organization name provided (case-insensitive)"",""given"":""an organization with the name 'Vandelay Industries' already exists in the system"",""when"":""a user enters 'vandelay industries' in the 'Organization Name' field and the field loses focus"",""then"":""an inline error message 'This organization name is already taken. Please choose another.' is displayed below the input field and the registration submission button is disabled.""},{""scenario"":""Validation in progress feedback"",""given"":""a user is on the new organization registration page"",""when"":""the user enters text into the 'Organization Name' field and the field loses focus, triggering the asynchronous validation check"",""then"":""a loading indicator (e.g., spinner) is displayed next to the field until the validation check completes and is replaced by either a success or error indicator.""},{""scenario"":""User corrects a duplicate name"",""given"":""a user has entered a duplicate organization name and an error message is displayed"",""when"":""the user edits the field to provide a unique name and the field loses focus"",""then"":""the error message is cleared, a success indicator is displayed, and the registration submission button becomes enabled.""}]","[""WI-002-02-001: Develop New Organization Registration Flow (uniqueness check portion)"",""Create a public callable Cloud Function for asynchronous name validation"",""Implement frontend logic to call the validation function onBlur and display feedback""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Unit tests implemented for both frontend and backend logic with >80% coverage"",""Performance requirements for the validation endpoint are verified"",""Security requirements (rate limiting, App Check) are implemented and validated"",""Story deployed and verified in the staging environment""]"
"US-003","Tenant & User Lifecycle Management","Admin selects a data residency region during tenant creation","Initial Admin User","As an initial Admin registering my organization, I want to select a primary data residency region from a list of supported locations during the sign-up process so that I can ensure my organization's data is stored in a specific geographic area to comply with data sovereignty regulations like GDPR.","Enables the product to meet data sovereignty and regulatory compliance requirements (e.g., GDPR), expanding the addressable market to enterprise customers in regulated regions and building trust.","Must Have","8","[""US-001""]","[{""scenario"":""Successful selection of a data residency region during registration"",""given"":""A user is on the new organization registration page"",""when"":""The user fills in all required fields and selects a valid data residency region (e.g., 'Europe (Frankfurt)') from the dropdown list"",""then"":""The system successfully creates a new tenant upon form submission and all subsequent data created for this tenant is physically stored in the infrastructure provisioned for the selected region.""},{""scenario"":""Region selection is non-modifiable after tenant creation"",""given"":""An Admin has successfully created a tenant with a specific data residency region"",""when"":""The Admin navigates to the organization settings page in the web dashboard"",""then"":""The selected data residency region is displayed as a read-only value and there is no user interface option to change it.""}]","[""Architect and implement a multi-region infrastructure strategy for Firebase/GCP"",""Update tenant creation Cloud Function to provision resources in the selected region"",""Add region selection dropdown to the registration UI""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Integration testing completed successfully, confirming data is written to the correct regional database"",""Architectural decisions and implementation details are documented"",""Story deployed and manually verified by QA in the staging environment for at least two different regions""]"
"US-004","Tenant & User Lifecycle Management","Admin invites a new user to the organization via email","Admin","As an Admin, I want to invite new employees to the application by entering their email address and assigning them a role, so that they can receive a secure registration link, create their account, and become part of my organization's tenant.","Enables the onboarding of new employees into the system, facilitating organizational growth and the core attendance tracking function. Ensures that only authorized individuals can join a specific tenant, maintaining data security and isolation.","Must Have","5","[""US-001""]","[{""scenario"":""Successful invitation of a new user"",""given"":""I am an Admin logged into the web dashboard and I am on the 'Manage Users' page"",""when"":""I enter a valid and unique email address 'new.user@example.com', select the role 'Subordinate', and click 'Send Invitation'"",""then"":""I see a success notification message: 'Invitation sent successfully to new.user@example.com', a user document is created with 'invited' status, and a transactional email is triggered to 'new.user@example.com' containing a unique, 24-hour time-limited registration link.""},{""scenario"":""Attempting to invite a user who already exists in the tenant"",""given"":""I am an Admin logged in, and a user with the email 'existing.user@example.com' already exists in my tenant"",""when"":""I attempt to invite a new user with the email 'existing.user@example.com'"",""then"":""The form submission is blocked and I see an inline error message: 'A user with this email already exists in your organization.'""}]","[""WI-002-02-002: Implement Admin User Invitation Flow"",""Build 'Invite User' UI in the Admin web dashboard"",""Create callable Cloud Function to generate an invitation token, create an 'invited' user document, and trigger a SendGrid email""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Unit tests implemented for form validation logic and Cloud Function logic, achieving >80% coverage"",""Integration testing completed successfully using the Firebase Emulator Suite"",""Security requirements for role-based access and token generation are validated"",""Story deployed and verified in the staging environment""]"
"US-005","Tenant & User Lifecycle Management","Invited user receives an email with a time-limited registration link","Invited User","As an invited user, I want to receive an email containing a unique, time-limited registration link after an Admin invites me, so that I can securely and easily begin the process of creating my account and joining my organization's workspace.","Provides a secure and automated mechanism for new user activation, which is critical for tenant growth. Ensures only the intended recipient can register, reducing security risks and support overhead.","Must Have","5","[""US-004""]","[{""scenario"":""Successful email delivery with a valid link"",""given"":""an Admin has successfully submitted an invitation for a new user with the email 'new.user@example.com'"",""when"":""the backend system processes the invitation request"",""then"":""an email is sent to 'new.user@example.com' from the SendGrid service, containing a unique registration link and explicitly mentioning that the link will expire in 24 hours.""},{""scenario"":""Email hard bounces"",""given"":""an invitation email is sent to a non-existent email address"",""when"":""the SendGrid service reports a hard bounce event"",""then"":""a webhook or monitoring process updates the invited user's profile in Firestore with a status indicating delivery failure (e.g., `invitationStatus: 'delivery_failed'`).""}]","[""WI-002-02-002: Implement Admin User Invitation Flow (email part)"",""Design and implement a responsive HTML email template for invitations"",""Integrate the SendGrid API into the invitation Cloud Function"",""Configure SendGrid webhooks to handle bounce events (optional for MVP)""]","[""All acceptance criteria validated and passing"",""Cloud Function for sending invitations is implemented with unit tests"",""Integration with SendGrid is complete and tested"",""HTML email template is created, approved, and tested for responsiveness"",""Security review of token generation logic is complete"",""Story deployed and verified in the staging environment by sending a test invitation""]"
"US-006","Tenant & User Lifecycle Management","Invited user completes registration by setting a password","Invited User","As an Invited User, I want to securely complete my account registration by clicking a unique link from my invitation email and setting a strong password, so that I can activate my account, log in for the first time, and start using the attendance application.","Enables the final, critical step of user onboarding, converting an invited user into an active user. A seamless registration process improves user adoption and reduces administrative support load.","Must Have","5","[""US-004"",""US-005""]","[{""scenario"":""Successful account activation with a valid link and strong password"",""given"":""an invited user has a valid, non-expired registration link and is on the registration completion page"",""when"":""the user enters a password that meets the organization's policy, confirms it correctly, accepts the Terms of Service, and clicks 'Activate Account'"",""then"":""the system updates the user's status from 'invited' to 'active' in Firestore, the user is automatically logged in, and they are redirected to their role-specific dashboard. The registration link is also invalidated.""},{""scenario"":""Attempting to use an expired registration link"",""given"":""an invited user has a registration link that is older than 24 hours"",""when"":""the user clicks the link"",""then"":""the user is redirected to a page that clearly states 'This invitation link has expired. Please contact your administrator to request a new invitation.'""}]","[""WI-002-02-003: Implement Invited User Registration Completion"",""Build a public-facing Flutter for Web page for setting the password"",""Create a Cloud Function to validate the token, set the user's password in Firebase Auth, and update the user's status to 'active' in Firestore""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Unit tests implemented for password validation logic and Cloud Function"",""E2E test for the full registration flow is passing"",""Security requirements (token invalidation, HTTPS) validated"",""Story deployed and verified in the staging environment""]"
"US-007","Tenant & User Lifecycle Management","Invited user is notified when a registration link has expired","Invited User","As an invited user who has clicked on an old invitation link, I want to be shown a clear, dedicated page explaining that the link has expired, so that I understand why I cannot register and know that I need to contact my administrator for a new invitation.","Improves the user onboarding experience by providing clear feedback for a common error scenario. This reduces user frustration, minimizes support requests, and prevents potential users from abandoning the registration process.","Must Have","3","[""US-004"",""US-005""]","[{""scenario"":""User clicks on an invitation link that has expired"",""given"":""An Admin has sent a user an invitation link which has a 24-hour validity period"",""when"":""The user clicks the invitation link more than 24 hours after it was generated"",""then"":""The system must display a dedicated 'Invitation Link Expired' page with a clear heading and an instruction to contact their administrator for a new invitation.""},{""scenario"":""An already active user clicks their old invitation link"",""given"":""A user has already completed their registration and their account status is 'active'"",""when"":""The user clicks on their original (now used) invitation link"",""then"":""The system should display a page informing them that their account is already active and provide a link to the main login page.""}]","[""WI-002-02-003: Implement Invited User Registration Completion (error handling)"",""Configure Firebase Hosting rewrite rules to direct registration paths to a validation Cloud Function"",""Implement the validation Cloud Function to check token status (valid, expired, used) and redirect accordingly"",""Create the 'Link Expired' and 'Link Invalid/Used' UI pages in Flutter for Web""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Unit tests for the Cloud Function validation logic are implemented"",""Integration testing between Hosting, Cloud Function, and Firestore is completed successfully"",""Story deployed and verified in the staging environment""]"
"US-008","Tenant & User Lifecycle Management","Admin deactivates a user's account","Admin","As an Admin, I want to deactivate a user's account and be guided through any necessary reassignments, so that I can securely revoke access for departing employees and maintain the integrity of the organizational hierarchy.","Enhances organizational security by preventing unauthorized access from former employees. Ensures management continuity by enforcing the reassignment of subordinates before a supervisor's departure.","Must Have","5","[""US-004"",""US-017"",""US-051""]","[{""scenario"":""Admin successfully deactivates a user who is not a supervisor"",""given"":""I am logged in as an Admin on the user management dashboard"",""when"":""I select a user with the 'Subordinate' role, click 'Deactivate', and confirm the action"",""then"":""The user's status is updated to 'deactivated' in the Firestore database, and their active session is invalidated.""},{""scenario"":""Deactivated user is prevented from logging in"",""given"":""A user's account has been successfully deactivated"",""when"":""That user attempts to log in with their correct credentials"",""then"":""The system denies access and displays a clear message, such as 'Your account has been deactivated. Please contact your administrator.'""},{""scenario"":""Admin is blocked from deactivating a Supervisor with active subordinates"",""given"":""I am logged in as an Admin and select a 'Supervisor' user who has one or more active subordinates assigned to them"",""when"":""I attempt to deactivate this Supervisor"",""then"":""The system prevents the deactivation and displays a modal explaining that all subordinates must be reassigned first.""}]","[""WI-002-02-004: Implement Admin-Led User Deactivation"",""Implement a Cloud Function to check for active subordinates before deactivation"",""Implement a Cloud Function to revoke user refresh tokens for immediate session invalidation"",""Update Admin dashboard UI to include deactivation action and confirmation modals""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Unit tests for Cloud Function logic implemented with >80% coverage"",""Security requirement for session invalidation is manually verified and confirmed working"",""Audit log entry is correctly generated and formatted"",""Story deployed and verified in staging environment""]"
"US-009","Tenant & User Lifecycle Management","Admin is required to reassign subordinates before deactivating a Supervisor","Admin","As an Admin, I want to be prevented from deactivating a Supervisor who still has active subordinates and be prompted to reassign them first, so that I can ensure every employee remains managed and critical workflows like attendance approvals are not broken.","Ensures organizational hierarchy integrity by preventing 'orphaned' employees. This maintains the continuity of approval workflows and avoids administrative data correction tasks later.","Must Have","5","[""US-008""]","[{""scenario"":""Attempt to deactivate a Supervisor with active subordinates"",""given"":""An Admin attempts to deactivate a user who has the 'Supervisor' role and has one or more active subordinates"",""when"":""The deactivation action is initiated"",""then"":""The action is blocked, and a modal appears listing the affected subordinates and prompting the Admin to reassign them.""},{""scenario"":""Successful deactivation of a Supervisor after reassigning all subordinates"",""given"":""An Admin was blocked from deactivating a Supervisor and is now in the reassignment interface"",""when"":""The Admin reassigns all of the Supervisor's active subordinates to a new Supervisor and confirms"",""then"":""The deactivation action is successful, and the former Supervisor's user status is updated to 'deactivated'.""}]","[""WI-002-02-005: Implement 'Orphaned Subordinates' Business Rule"",""Build the subordinate reassignment UI within the Admin dashboard"",""Update the deactivation Cloud Function to handle the reassignment logic as part of an atomic transaction""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Unit tests implemented for the Cloud Function and frontend logic"",""Integration testing of the full Admin workflow completed successfully"",""User interface for the reassignment modal reviewed and approved"",""Story deployed and verified in staging environment""]"
"US-010","Tenant & User Lifecycle Management","Deactivated user is prevented from logging in","Deactivated User","As a deactivated user, I want to be prevented from logging into the system, even with correct credentials, so that my former employer's data is secure after my access has been revoked.","Enhances security by ensuring that offboarded users cannot access tenant data, thereby protecting company information and enforcing access control policies.","Must Have","2","[""US-008"",""US-017""]","[{""scenario"":""Deactivated user attempts login with correct credentials"",""given"":""a user exists with a status of 'deactivated' in the system"",""when"":""the user attempts to log in using their correct email and password"",""then"":""the system must reject the authentication attempt and display a specific error message: 'Your account has been deactivated. Please contact your administrator.'""},{""scenario"":""Deactivated user attempts login with incorrect credentials"",""given"":""a user exists with a status of 'deactivated' in the system"",""when"":""the user attempts to log in using their correct email but an incorrect password"",""then"":""the system must reject the authentication attempt and show a generic 'Invalid credentials' error to prevent account status enumeration.""}]","[""WI-002-02-004: Implement Admin-Led User Deactivation (login check part)"",""Implement a Firebase Auth Blocking Function (`beforeSignIn`) to check the user's status in Firestore before minting a token"",""Update Firestore Security Rules to deny data access to any user whose auth token does not have an 'active' status claim""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Integration testing confirms that login is blocked server-side for inactive users"",""Security review confirms no information leakage and that Firestore rules are updated"",""Story deployed and verified in the staging environment""]"
