"task_id","task_name","primary_skill","secondary_skills","complexity_level","estimated_hours","required_experience","productivity_factor","adjusted_hours","team_size","collaboration_required","dependencies","critical_path","skill_learning_curve","ramp_up_hours","resource_notes","alternative_approach","risk_factors","mitigation_strategy","quality_overhead","review_hours","documentation_hours","testing_coordination","integration_overhead"
"US-001","Admin registers a new organization tenant","Backend Development","Flutter for Web,TypeScript,Firebase Functions,Firestore","High","64","Senior","1.2","83.2","2","true","","true","Low","8","Architecturally significant task. Requires deep Firebase knowledge for atomic, multi-collection writes and setting custom claims.","None, this is a core architectural piece.","High risk of data inconsistency if not transactional. Security critical.","Pair programming between backend and full-stack dev. Mandatory security review.","12.8","6.4","3.2","8","8"
"US-002","Admin is notified of a non-unique organization name during registration","Backend Development","Flutter for Web,TypeScript,Firebase Functions","Medium","24","Mid","1","31.2","1","","US-001","true","Low","2","Requires a public-facing, secure, and performant Cloud Function.","Could be done client-side, but insecure. Must be backend.","Potential for enumeration attacks if not secured with rate limiting/App Check.","Implement Firebase App Check on the validation function.","4.8","2.4","1.2","2","2"
"US-003","Admin selects a data residency region during tenant creation","Architecture & Leadership","Firebase Functions,GCP,DevOps","Critical","32","Lead","1.5","41.6","1","true","US-001","true","High","16","Extremely high architectural complexity. Involves provisioning infrastructure per region. See RISK-001.","De-scope to single region for initial launch.","Catastrophic compliance breach if misconfigured. High implementation cost and complexity.","Mandatory architectural design spike and review before implementation.","6.4","8","4","8","16"
"US-004","Admin invites a new user to the organization via email","Backend Development","Flutter for Web,TypeScript,Firestore,Security","Medium","20","Mid","1","26","1","true","US-001","","Low","2","Requires secure token generation and integration with email service.","None.","Email deliverability (spam filters). Token security.","Use a reputable email provider (SendGrid) with domain authentication.","4","2","1","3","4"
"US-005","Invited user receives an email with a time-limited registration link","Backend Development","TypeScript,SendGrid,Firebase Functions","Medium","20","Mid","1","26","1","","US-004","","Low","2","Involves creating responsive HTML email templates and handling delivery failures.","None.","Cross-client email rendering issues.","Use a service like Litmus for email testing. Configure webhooks for bounce handling.","4","2","1","4","4"
"US-006","Invited user completes registration by setting a password","Frontend Development","Flutter for Web,Firebase Auth,TypeScript","Medium","20","Mid","1","26","1","true","US-005,US-027","","Low","2","Requires secure token validation on the backend and UI for password setting.","None.","Security vulnerability if token invalidation is not handled correctly.","Backend function must atomically validate token, activate user, and invalidate token.","4","2","1","4","4"
"US-007","Invited user is notified when a registration link has expired","Frontend Development","Flutter for Web,Firebase Functions,Firebase Hosting","Medium","12","Mid","1","15.6","1","true","US-005","","Medium","4","Requires configuring Firebase Hosting rewrites to a Cloud Function for token pre-validation.","None.","Incorrect hosting configuration can break the entire registration flow.","Thoroughly test rewrite rules in a staging environment.","2.4","1.2","0.6","2","3"
"US-008","Admin deactivates a user's account","Backend Development","Security,Firebase Functions,Flutter for Web","High","20","Senior","1.2","26","1","true","US-009,US-010,US-051","","Low","2","Security-critical. Requires immediate session invalidation (token revocation).","None.","Session invalidation may not be immediate, leaving a window of access.","Use Firebase Admin SDK to revoke refresh tokens server-side.","4","4","1","4","4"
"US-009","Admin is required to reassign subordinates before deactivating a Supervisor","Backend Development","Flutter for Web,Firestore,Data Integrity","Medium","20","Mid","1","26","1","true","US-008","","Low","2","Ensures integrity of the org chart. Requires server-side validation.","None.","Race conditions if not handled atomically.","Use a callable Cloud Function with a Firestore transaction for the check and reassignment.","4","2","1","4","4"
"US-010","Deactivated user is prevented from logging in","Backend Development","Security,Firebase Functions","Medium","8","Mid","1","10.4","1","","US-008,US-017","true","Medium","4","Requires Firebase Auth Blocking Function (`beforeSignIn`) for secure enforcement.","Client-side check is possible but insecure and must be avoided.","Misconfiguration could block all users from logging in.","Extensive testing in emulator and staging. Staged rollout.","1.6","1.6","0.8","2","2"
