"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-001","[Backend-Design] Define API Contract & Data Models for Tenant Registration","Specify the request/response structure for the `registerOrganization` callable function. Finalize the Firestore schemas for the `/tenants` and `/users` collections, ensuring all fields required for registration are included. Define the structure of custom claims.","Task","Sprint Backlog","Critical","backend.dev.1@company.com","product.owner@company.com","2024-10-25","6","2","backend,design,api,firestore","Sprint 1","Establish foundational user and tenant lifecycle for self-service registration and secure login.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-001","","TypeScript,Firestore,API Design","Medium","Low","API contract is documented. Firestore data models are defined. Custom claims structure is finalized.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-10-21","2024-11-01","100%","Frontend team for API contract alignment","","Peer review of design documents.","","Enables new organizations to onboard themselves, creating the foundational tenant structure."
"TASK-002","[Backend-Impl] Implement `registerOrganization` Cloud Function Core Logic","Implement the core logic of the `registerOrganization` function. This includes creating the Firebase Auth user, creating the Firestore tenant document, creating the Firestore user document, and setting the custom claims.","Task","Sprint Backlog","Critical","backend.dev.1@company.com","product.owner@company.com","2024-10-28","8.67","3","backend,cloud-function,typescript,firebase","Sprint 1","Establish foundational user and tenant lifecycle for self-service registration and secure login.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-001","TASK-001","TypeScript,Firebase Cloud Functions,Firebase Admin SDK","High","Medium","Function successfully creates Auth user, Firestore tenant, and Firestore user with 'Admin' role and custom claims.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-10-21","2024-11-01","100%","","","Manual invocation and verification in the Firebase Emulator.","","Enables new organizations to onboard themselves, creating the foundational tenant structure."
"TASK-003","[Backend-Impl] Add Transactional Atomicity and Compensation Logic","Refactor the `registerOrganization` function to wrap all database and user creation steps in a single atomic operation. Implement compensation logic to delete the Firebase Auth user if any of the subsequent Firestore writes fail.","Task","Sprint Backlog","Critical","backend.dev.2@company.com","product.owner@company.com","2024-10-29","6.33","3","backend,cloud-function,firestore,transaction","Sprint 1","Establish foundational user and tenant lifecycle for self-service registration and secure login.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-001","TASK-002","TypeScript,Firestore Transactions","High","High","All Firestore writes are transactional. If the transaction fails, the Auth user is deleted. No orphaned data is left in the system.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-10-21","2024-11-01","100%","","","Integration tests that simulate failures at different stages of the process.","RISK-001: Race conditions or partial failures could leave orphaned data.","Ensures data integrity during the critical tenant creation process."
"TASK-004","[Backend-QA] Write Unit & Integration Tests for Registration Function","Using Jest and the Firebase Emulator Suite, write a comprehensive test suite for the `registerOrganization` function. Cover happy path, duplicate name validation, transaction rollback on failure, and input validation.","Task","Sprint Backlog","High","qa.engineer.1@company.com","product.owner@company.com","2024-10-31","8.33","3","qa,testing,jest,backend,emulator","Sprint 1","Establish foundational user and tenant lifecycle for self-service registration and secure login.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-001","TASK-003","Jest,TypeScript,Firebase Emulator Suite","Medium","Low","Test coverage exceeds 80%. Test cases for success, duplicate name, and rollback are implemented and passing.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-10-21","2024-11-01","100%","Backend team","","CI pipeline runs all tests successfully.","","Ensures the reliability and correctness of the tenant registration feature."
"TASK-005","[Frontend-Impl] Build Organization Registration Form UI","Develop the Flutter for Web UI for the new organization registration page. This includes all required input fields (Org Name, Admin Name, Email, Password, etc.) and the 'Register' button, based on the approved UX design.","Task","Sprint Backlog","Critical","frontend.dev.1@company.com","product.owner@company.com","2024-10-25","6","2","frontend,flutter,web,ui","Sprint 1","Establish foundational user and tenant lifecycle for self-service registration and secure login.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-001","","Flutter,Dart","Low","Low","All form fields are implemented as specified. Page is responsive.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-10-21","2024-11-01","100%","UX Designer","","UI review and widget tests.","","Provides the user interface for new customers to sign up for the service."
"TASK-006","[Frontend-Impl] Implement State Management & Backend Integration for Registration","Using Riverpod, implement the state management for the registration form. This includes handling form validation, loading states, error states from the backend, and calling the `registerOrganization` Cloud Function. On success, it must handle automatic login and redirection.","Task","Sprint Backlog","Critical","frontend.dev.1@company.com","product.owner@company.com","2024-11-01","8","3","frontend,flutter,riverpod,state-management","Sprint 1","Establish foundational user and tenant lifecycle for self-service registration and secure login.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-001","TASK-004,TASK-005","Flutter,Riverpod,Firebase SDK","Medium","Low","Form validates all fields. Submitting calls the backend function. Loading, error, and success states are handled correctly. Redirects on success.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-10-21","2024-11-01","100%","Backend team","","E2E testing of the registration flow.","","Makes the registration UI functional and connects it to the backend system."
"TASK-007","[Backend-Impl] Create `checkOrganizationName` Callable Function","Implement a public, callable Cloud Function that takes an organization name as input and returns a boolean indicating if the name is already in use. The check must be case-insensitive.","Task","Sprint Backlog","High","backend.dev.2@company.com","product.owner@company.com","2024-10-28","6.33","3","backend,cloud-function,validation","Sprint 1","Establish foundational user and tenant lifecycle for self-service registration and secure login.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-002","TASK-009","TypeScript,Firebase Cloud Functions","Medium","Medium","Function returns correct availability status. Secured with rate limiting and App Check.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-10-21","2024-11-01","100%","","","Integration tests and manual API calls.","","Prevents user frustration during onboarding by providing real-time validation."
"TASK-008","[Frontend-Impl] Implement Real-time Name Validation on Registration Form","On the organization registration form, add logic to call the `checkOrganizationName` function when the organization name field loses focus (onBlur). Update the UI to show a loading spinner, a success icon, or an error message based on the response.","Task","Sprint Backlog","High","frontend.dev.2@company.com","product.owner@company.com","2024-10-30","6","2","frontend,flutter,validation,ui","Sprint 1","Establish foundational user and tenant lifecycle for self-service registration and secure login.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-002","TASK-007","Flutter,Riverpod","Medium","Low","API call is made onBlur. UI shows loading, error, or success states correctly. Button state is controlled by validation result.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-10-21","2024-11-01","100%","Backend team","","E2E testing in the browser.","","Improves user experience during sign-up."
"TASK-009","[Backend-Design] Design Indexed Collection for Unique Name Lookups","To ensure performant name lookups, design a separate Firestore collection (e.g., `/organizationNames`) where the document ID is the lower-cased, normalized organization name. This avoids a slow, case-insensitive collection scan on the main `/tenants` collection.","Task","Sprint Backlog","Medium","backend.dev.1@company.com","product.owner@company.com","2024-10-24","4.33","1","backend,database,design,firestore,performance","Sprint 1","Establish foundational user and tenant lifecycle for self-service registration and secure login.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-002","","Firestore Data Modeling","Medium","Low","Data model for the indexed name collection is documented. Design is updated to include a write to this new collection.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-10-21","2024-11-01","100%","","","Design review.","","Ensures the name validation feature is scalable and cost-effective."
"TASK-010","[Backend-Impl] Implement `inviteUser` Callable Cloud Function","Create a TypeScript Cloud Function for Admins to invite new users. The function creates a user document in Firestore with 'invited' status, generates a secure 24-hour registration token, and triggers a SendGrid email. It must validate that the caller is an Admin and the invited email is unique within the tenant.","Task","Sprint Backlog","Critical","backend.dev.1@company.com","product.owner@company.com","2024-11-08","10.67","5","backend,cloud-function,invitation,sendgrid","Sprint 2","Enable core user onboarding and the primary Subordinate workflow: Admins can invite users, who can then register and check-in.","Platform Architecture & Tenant Management","EPIC-001","Attendance Tracking Mobile App","US-004","TASK-082","TypeScript,Firebase Cloud Functions,SendGrid","High","Medium","Function is only callable by an Admin. Rejects duplicate emails. Creates user doc with 'invited' status and token. Triggers email.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-15T09:00:00Z","2024-10-15T09:00:00Z","2024-11-04","2024-11-15","100%","DevOps for SendGrid secrets","SendGrid API","Integration testing with the Firebase Emulator.","","Enables the onboarding of new employees into the system."
